Nation,Political Science and International Relations,Sociology and Political Science,Development,"Economics, Econometrics and Finance","Business, Management and Accounting",Environmental Science,Transportation,Social Sciences (Misc.),Communication,Agricultural and Biological Sciences,Arts and Humanities,Computer Science,Decision Sciences,Demography,Earth and Planetary Sciences,Education,Energy,Engineering,Law,Mathematics,Medicine,Multidisciplinary,Safety Research,Urban Studies,Cultural Sciences
India / Vietnam / Indonesia,,,,,,1,,,,,,,,,,,,,,,,,,,
Thailand / Poland / Malaysia / Singapore / Hungary / Turkey / Romania / Czech Republic / Russia,,,,1,,,,,,,,,,,,,,,,,,,,,
Indonesia / Pakistan,,,,,,1,,,,,,,,,,,,,,,,,,,
Pakistan / Malaysia,,,1,,,,,,,,,,,,,,,,,,,,,,
Ghana / Cambodia,,,,,,,,,,,,,,,,,,,,,,,,1,
Mongolia / Kazakhstan / Tajikistan / Kyrgyzstan / Afghanistan / Pakistan / Nepal / Myanmar / Cambodia / Laos / Vietnam,,,1,,,,,,,,,,,,,,,,,,,,,,
Hong Kong / Singapore,,,,,,,1,,,,,,,,,,,,,,,,,,
Nepal / Laos,,,1,,,,,,,,,,,,,,,,,,,,,,
Algeria / Ghana / Indonesia / Malaysia / Nigeria / Palestine,,,,,,1,,,,,,,,,,,,,,,,,,,
Ghana / Nigeria / Cambodia / Malaysia,1,,1,,,,,,,,,,,,,,,,,,,,,,
Kazakhstan / Italy / United Kingdom / Netherlands / India / Mexico / United States of America,1,,,,,,,,,,,,,,,,,,,,,,,,
Kenya / Tanzania / United Kingdom,,,,,,,,1,,,,,,,,,,,,,,,,,
Russia / India / Indonesia,,,,,,1,,,,,,,,,,,,,,,,,,,
Australia / India / Japan / United Kingdom / United States of America,1,,,,,,,,,,,,,,,,,,,,,,,,
India / Russia / Turkey,,,,,,,,,,,,,,,,,,,,1,,,,,
Pakistan / Kazakhstan / Bangladesh,1,,,,,,,,,,,,,,,,,,,,,,,,
Belarus / Bangladesh / Bulgaria / Czechia / Hungary / Israel / Jordan / Kyrgyzstan / Pakistan / Romania / Ukraine / Uzbekistan,,,,1,,,,,,,,,,,,,,,,,,,,,
Pakistan / Kenya,,,,,,1,,,,,,,,,,,,,1,,,,,,
Nepal,,,,,,,,1,,,,,,,,,,,,,,,,,
Pakistan,,,,,,,,1,,,,,,,,,,,,,,,,,
Pakistan,,,,,,,,,,,,,,,,,1,,,,,,,,
Pakistan,1,,1,,,,,,,,,,,,,,,,,,,,,,
Pakistan,,,,,,,,1,,,,,,,,,,,,,,,,,
Sri Lanka,,,,,,,,,,,,,,,,,,,1,,,,,,
Pakistan,,,,,,,,,,,,,,,,,,,,,1,,,,
Bangladesh / Nepal / Pakistan / India / Sri Lanka,,,,,,,,,,,,,,,,,,,,,1,,,,
Pakistan,,,,,,1,,,,,,,,,,,,,,,,,,,
Pakistan,,,,,,1,,,,,,,,,,,1,,,,,,,,
Pakistan,,,,,,,,,,,,,,,1,,,,,,,,,,
